,purpose,tfn_at,mode,period,split,trips,total_trips,split_method
72,1,2,6,1,0.6569558025044867,267.05795315772514,406.50824932153824,observed
73,1,2,6,2,0.19191731033977644,78.01596984072087,406.50824932153824,observed
74,1,2,6,3,0.03405193561737163,13.842392733827475,406.50824932153824,observed
75,1,2,6,4,0.08373460532637729,34.03880781885558,406.50824932153824,observed
76,1,2,6,5,0.027581810393564984,11.21223345620671,406.50824932153824,observed
77,1,2,6,6,0.005758535818423052,2.3408923142025264,406.50824932153824,observed
78,1,2,7,1,0.6839696564210419,242.1062016832065,353.97213810632763,observed
79,1,2,7,2,0.17022548681880129,60.25507952944158,353.97213810632763,observed
80,1,2,7,3,0.03887360596269347,13.760173418517494,353.97213810632763,observed
81,1,2,7,4,0.08299037986011404,29.376282201340878,353.97213810632763,observed
82,1,2,7,5,0.01282264627055378,4.53885951656905,353.97213810632763,observed
83,1,2,7,6,0.011118224666795717,3.9355417572521922,353.97213810632763,observed
84,1,3,1,1,0.12125847055481843,61.90464156919978,510.51807998199996,observed
85,1,3,1,2,0.8486829292650826,433.26797956190944,510.51807998199996,observed
86,1,3,1,3,0.027803957879833592,14.194423192713044,510.51807998199996,observed
87,1,3,1,4,0.00225464230026541,1.151035658177697,510.51807998199996,observed
88,1,3,1,5,0.0,0.0,510.51807998199996,observed
89,1,3,1,6,0.0,0.0,510.51807998199996,observed
90,1,3,2,1,0.33851742585073386,1.6722176583254793,4.939827408066219,TBD
91,1,3,2,2,0.26405615966470625,1.3043918547804256,4.939827408066219,TBD
92,1,3,2,3,0.0,0.0,4.939827408066219,TBD
93,1,3,2,4,0.0,0.0,4.939827408066219,TBD
94,1,3,2,5,0.39742641448455984,1.963217894960314,4.939827408066219,TBD
95,1,3,2,6,0.0,0.0,4.939827408066219,TBD
96,1,3,3,1,0.5072050740907169,937.6240982736394,1848.60946029483,observed
97,1,3,3,2,0.2749383566395787,508.2536470818391,1848.60946029483,observed
98,1,3,3,3,0.10525582764840903,194.57691874201106,1848.60946029483,observed
99,1,3,3,4,0.05863696298117833,108.39684448996398,1848.60946029483,observed
100,1,3,3,5,0.029103050873884068,53.800175168903806,1848.60946029483,observed
101,1,3,3,6,0.024860727766232958,45.9577765384726,1848.60946029483,observed
102,1,3,4,1,0.2736095555480476,8.866878967428107,32.407051536147925,TBD
103,1,3,4,2,0.45448580050295084,14.728544759346573,32.407051536147925,TBD
104,1,3,4,3,0.10880001136469271,3.5258875754290764,32.407051536147925,TBD
105,1,3,4,4,0.037052613835772824,1.2007659661248775,32.407051536147925,TBD
106,1,3,4,5,0.06142117015035776,1.9904790264731544,32.407051536147925,TBD
107,1,3,4,6,0.06463084859817833,2.094495241346139,32.407051536147925,TBD
108,1,3,5,1,0.11643910090995864,3.318667261716475,28.501313010676476,TBD
109,1,3,5,2,0.5780121668733902,16.47410569203786,28.501313010676476,TBD
110,1,3,5,3,0.10115692488760154,2.883105179419021,28.501313010676476,TBD
111,1,3,5,4,0.11835988346679485,3.373412086594312,28.501313010676476,TBD
112,1,3,5,5,0.0,0.0,28.501313010676476,TBD
113,1,3,5,6,0.08603192386225475,2.4520227909088095,28.501313010676476,TBD
114,1,3,6,1,0.7137106967049434,45.110718290710025,63.20588790244703,TBD
115,1,3,6,2,0.07601145456369343,4.804371476454753,63.20588790244703,TBD
116,1,3,6,3,0.0,0.0,63.20588790244703,TBD
117,1,3,6,4,0.12709731803443783,8.033298836386336,63.20588790244703,TBD
118,1,3,6,5,0.0,0.0,63.20588790244703,TBD
119,1,3,6,6,0.08318053069692537,5.257499298895919,63.20588790244703,TBD
